card_number,expiry_date,card_provider,date_payment_confirmed
180073938676789,2032-10-01,JCB 15 digit,2019-03-20
4566760632894380,2032-05-01,VISA 16 digit,2005-03-27
4503188601283890,2032-06-01,VISA 16 digit,2012-06-01
3502923918051140,2032-10-01,JCB 16 digit,2018-07-18
2707408266864240,2032-01-01,Mastercard,2007-06-21
4810185128237050000,2032-08-01,VISA 19 digit,2010-06-10
6011576830990370,2032-04-01,Discover,2010-09-27
4948726022229780000,2032-09-01,VISA 19 digit,2021-11-28
4849875173731580,2032-05-01,VISA 16 digit,2005-10-13
378802663296021,2032-02-01,American Express,2017-09-25
30376341786612,2032-04-01,Diners Club / Carte Blanche,2015-04-15
3546917916771040,2032-03-01,JCB 16 digit,2014-07-19
213175537258892,2032-11-01,JCB 15 digit,2001-04-08
4147557926551400,2032-11-01,VISA 16 digit,2011-11-16
3519439927406840,2032-02-01,JCB 16 digit,1995-07-13
180096280106717,2032-10-01,JCB 15 digit,1999-06-18
347731471991408,2032-02-01,American Express,2003-06-01
3530198573141520,2032-10-01,JCB 16 digit,2021-01-31
2550311540762000,2032-09-01,Mastercard,2008-05-17
676173121689,2032-07-01,Maestro,2017-01-17
676198745157,2032-05-01,Maestro,2005-05-16
3581253935284900,2032-05-01,JCB 16 digit,2021-08-26
340019070936983,2032-08-01,American Express,2015-12-28
4875710698458,2032-03-01,VISA 13 digit,1995-02-18
213108512665344,2032-08-01,JCB 15 digit,2013-12-16
4997036381073340000,2032-03-01,VISA 19 digit,2014-02-28
503810540842,2032-09-01,Maestro,2008-09-12
376138522643083,2032-09-01,American Express,1995-06-11
4272548566632280000,2032-08-01,VISA 19 digit,1995-11-23
30280173725567,2032-11-01,Diners Club / Carte Blanche,2000-05-14
4684736731938780000,2032-07-01,VISA 19 digit,2005-06-03
4493609462935620,2032-07-01,VISA 16 digit,2004-04-06
4852610972681070000,2032-02-01,VISA 19 digit,2018-05-17
30369599441568,2032-05-01,Diners Club / Carte Blanche,2019-07-27
30202040781334,2032-07-01,Diners Club / Carte Blanche,2009-04-29
4109999255970410,2032-05-01,VISA 16 digit,1994-05-27
4608621142696900000,2032-09-01,VISA 19 digit,1999-02-09
587231144359,2032-09-01,Maestro,2011-02-26
4643552417886,2032-10-01,VISA 13 digit,1994-11-13
3593977084403830,2032-07-01,JCB 16 digit,2002-05-15
38790548047192,2032-07-01,Diners Club / Carte Blanche,2003-01-16
345922082823658,2032-08-01,American Express,2000-04-22
3580433927867250,2032-03-01,JCB 16 digit,2007-05-24
3501315015444760,2032-05-01,JCB 16 digit,2004-12-21
4463307280871,2032-05-01,VISA 13 digit,2008-07-25
379728762018751,2032-04-01,American Express,1996-07-02
4036187960893,2032-11-01,VISA 13 digit,2010-05-02
4315117520059110000,2032-06-01,VISA 19 digit,1995-03-11
576197693970,2032-04-01,Maestro,1998-02-28
3507676833409110,2032-03-01,JCB 16 digit,2008-07-29
2629063704774420,2032-05-01,Mastercard,2009-11-10
4870665303256180,2032-08-01,VISA 16 digit,1997-04-18
4469169472171060,2032-03-01,VISA 16 digit,2019-12-30
4085529938166,2032-10-01,VISA 13 digit,2006-02-20
4542363629574240000,2032-01-01,VISA 19 digit,2003-05-23
676146568842,2032-11-01,Maestro,1998-03-04
6567000729402700,2032-03-01,Discover,2016-12-10
4588712240463610,2032-09-01,VISA 16 digit,2000-04-25
4733170169108,2032-06-01,VISA 13 digit,2001-02-28
4167105680067310,2032-11-01,VISA 16 digit,2012-05-26
4297163981234,2032-03-01,VISA 13 digit,2015-06-03
4537891965955990,2032-01-01,VISA 16 digit,2012-01-18
3563575226122080,2032-05-01,JCB 16 digit,2022-06-30
6011499526091180,2032-10-01,Discover,2008-12-02
4682216047555960,2032-07-01,VISA 16 digit,2003-07-14
4080835193463590,2032-04-01,VISA 16 digit,2011-10-04
4498174831941070,2032-05-01,VISA 16 digit,1999-11-06
4174121728694,2032-06-01,VISA 13 digit,2014-01-30
346779490593003,2032-04-01,American Express,1993-01-15
580576866769,2032-06-01,Maestro,1996-09-07
4416459602615430,2032-08-01,VISA 16 digit,2017-05-15
213158196683519,2032-07-01,JCB 15 digit,2013-07-09
4885852547421,2032-10-01,VISA 13 digit,2007-05-07
3540713661055930,2032-06-01,JCB 16 digit,2010-01-26
6011203257181410,2032-05-01,Discover,2009-09-22
3538310935822100,2032-07-01,JCB 16 digit,1999-06-12
348960341593594,2032-06-01,American Express,2010-04-10
3584164801326080,2032-01-01,JCB 16 digit,1993-01-15
2474353682214070,2032-02-01,Mastercard,2006-06-07
575895834043,2032-07-01,Maestro,2009-12-03
213135987308027,2032-08-01,JCB 15 digit,2000-02-06
4403604542832130000,2032-06-01,VISA 19 digit,2016-02-12
3588970476355430,2032-01-01,JCB 16 digit,2021-02-04
345529897998912,2032-06-01,American Express,2012-09-07
4894139372323450,2032-10-01,VISA 16 digit,1992-11-27
4504917587372080000,2032-09-01,VISA 19 digit,2001-08-25
3549653060123780,2032-08-01,JCB 16 digit,2017-07-17
6011090098572210,2032-09-01,Discover,2013-03-17
6522358679079300,2032-07-01,Discover,2020-01-16
4838383958993700000,2032-11-01,VISA 19 digit,2018-03-14
347441669662346,2032-10-01,American Express,1999-03-13
4109273511951,2032-06-01,VISA 13 digit,2000-06-28
6560183677160170,2032-01-01,Discover,2019-05-16
30391419911190,2032-05-01,Diners Club / Carte Blanche,2000-05-20
4862230786641,2032-03-01,VISA 13 digit,2009-09-02
6011312740280300,2032-10-01,Discover,1992-12-05
180007890458695,2032-09-01,JCB 15 digit,2020-03-01
6011275750622240,2032-06-01,Discover,2009-11-16
6011284144421890,2032-02-01,Discover,2006-02-09
4865630409276,2032-07-01,VISA 13 digit,2005-12-27
6011953889127170,2032-09-01,Discover,1997-10-08
6011219220687860,2032-01-01,Discover,2021-08-18
565803909797,2032-04-01,Maestro,2018-04-30
4890639756782490000,2032-01-01,VISA 19 digit,2022-05-18
3585430012531780,2032-01-01,JCB 16 digit,2013-08-24
30128219128108,2032-05-01,Diners Club / Carte Blanche,2002-12-08
2290163164236950,2032-09-01,Mastercard,1998-12-25
180062819455678,2032-10-01,JCB 15 digit,1998-07-05
30245662741144,2032-11-01,Diners Club / Carte Blanche,2020-06-02
576306185405,2032-04-01,Maestro,1996-02-29
2296547480443970,2032-05-01,Mastercard,2008-09-22
3592451073710620,2032-10-01,JCB 16 digit,2016-10-06
2601154054458780,2032-01-01,Mastercard,2015-03-12
30584067717717,2032-03-01,Diners Club / Carte Blanche,2015-04-15
4913109195168530,2032-10-01,VISA 16 digit,2017-01-04
4672788864627150,2032-03-01,VISA 16 digit,2008-04-14
4145172420735750000,2032-04-01,VISA 19 digit,2016-08-07
4967083459273120,2032-07-01,VISA 16 digit,2005-10-16
3584927419294560,2032-02-01,JCB 16 digit,2001-09-24
30574549200028,2032-06-01,Diners Club / Carte Blanche,1999-01-08
371924999870225,2032-03-01,American Express,1993-08-09
6011889495876390,2032-06-01,Discover,1995-11-10
2280218736587840,2032-07-01,Mastercard,2008-09-30
4242541875010840,2032-07-01,VISA 16 digit,2021-02-06
4721339503151670,2032-08-01,VISA 16 digit,2003-06-30
4467541689599,2032-06-01,VISA 13 digit,2016-08-31
376093973677348,2032-07-01,American Express,2006-12-07
3584981563237630,2032-09-01,JCB 16 digit,2007-04-08
3504856339273840,2032-07-01,JCB 16 digit,1995-05-06
4241608018038,2032-10-01,VISA 13 digit,1998-09-25
4869821942824540,2032-09-01,VISA 16 digit,2022-01-23
4655349034938220000,2032-01-01,VISA 19 digit,2013-12-20
5590195675337960,2032-06-01,Mastercard,2002-12-30
4291816174465980000,2032-01-01,VISA 19 digit,2012-05-23
4531790043790340000,2032-04-01,VISA 19 digit,1997-12-12
343317824967396,2032-03-01,American Express,2017-08-15
30084735487793,2032-07-01,Diners Club / Carte Blanche,2022-02-22
4734017172743,2032-01-01,VISA 13 digit,2017-12-08
4149734916002200,2032-10-01,VISA 16 digit,2019-08-16
2713518475702510,2032-06-01,Mastercard,2000-12-02
2719426615559360,2032-10-01,Mastercard,1997-11-25
4378638241270110000,2032-08-01,VISA 19 digit,2011-12-21
213171554289076,2032-01-01,JCB 15 digit,2013-05-31
3523412016201920,2032-08-01,JCB 16 digit,2014-11-15
340675446461350,2032-02-01,American Express,2020-05-27
4293005127723660,2032-02-01,VISA 16 digit,1996-03-09
30085010476492,2032-11-01,Diners Club / Carte Blanche,2019-07-01
5497716488441530,2032-11-01,Mastercard,2010-11-03
4426080672388900000,2032-06-01,VISA 19 digit,2016-12-05
4606657528295400000,2032-06-01,VISA 19 digit,2005-05-02
4621299708114860000,2032-04-01,VISA 19 digit,1995-06-18
374712216151496,2032-09-01,American Express,2019-11-29
3544005811433870,2032-10-01,JCB 16 digit,2002-08-26
3592150380384930,2032-10-01,JCB 16 digit,2022-04-10
3552695623309020,2032-10-01,JCB 16 digit,2007-11-06
60476415660,2032-02-01,Maestro,1993-11-18
3553787865967660,2032-09-01,JCB 16 digit,2009-08-29
3500726735760550,2032-06-01,JCB 16 digit,2004-09-25
4458494955913,2032-10-01,VISA 13 digit,2001-05-14
3512210695570170,2032-03-01,JCB 16 digit,2015-05-02
30575886104327,2032-02-01,Diners Club / Carte Blanche,2016-06-29
30195647494923,2032-03-01,Diners Club / Carte Blanche,2009-08-18
378578646919935,2032-05-01,American Express,1997-06-16
6542234427365340,2032-04-01,Discover,2007-01-28
3520724455225230,2032-03-01,JCB 16 digit,2016-05-31
4818967607742060,2032-10-01,VISA 16 digit,2009-09-20
5186963525014210,2032-08-01,Mastercard,2010-03-20
3561068246254780,2032-04-01,JCB 16 digit,2014-09-11
2285974339455010,2032-08-01,Mastercard,1997-06-24
3575631153883240,2032-01-01,JCB 16 digit,2019-07-26
60410948412,2032-09-01,Maestro,2003-12-10
3518819862777840,2032-06-01,JCB 16 digit,1999-03-06
502089300417,2032-01-01,Maestro,2012-04-17
4252782340921490,2032-04-01,VISA 16 digit,2015-06-27
38017021838370,2032-03-01,Diners Club / Carte Blanche,2018-09-03
38402951471865,2032-03-01,Diners Club / Carte Blanche,1999-04-17
30315666897000,2032-01-01,Diners Club / Carte Blanche,2002-02-02
676295084237,2032-02-01,Maestro,2008-08-12
4213419967279470000,2032-11-01,VISA 19 digit,2006-08-13
3594342201387520,2032-09-01,JCB 16 digit,2008-05-03
4765313786835190,2032-09-01,VISA 16 digit,2016-04-20
4588374811889380,2032-04-01,VISA 16 digit,1997-06-17
6522194822239590,2032-03-01,Discover,1999-03-01
213157233690107,2032-04-01,JCB 15 digit,2004-05-23
30420060587619,2032-01-01,Diners Club / Carte Blanche,2005-09-25
30277006179806,2032-08-01,Diners Club / Carte Blanche,2002-08-02
4076416066252,2032-07-01,VISA 13 digit,2014-10-02
213165548360449,2032-09-01,JCB 15 digit,2005-10-02
564605012645,2032-04-01,Maestro,2014-03-19
346560839489123,2032-10-01,American Express,1993-03-04
6011701265051360,2032-01-01,Discover,2007-02-17
4568222793536780,2032-02-01,VISA 16 digit,2019-05-07
3576813184898150,2032-03-01,JCB 16 digit,2007-10-27
6011324473082500,2032-06-01,Discover,1993-07-31
3532124694601750,2032-05-01,JCB 16 digit,1994-07-17
343778459883143,2032-08-01,American Express,2000-10-20
4390207397757440000,2032-11-01,VISA 19 digit,2011-04-04
213158527334352,2032-11-01,JCB 15 digit,2002-12-04
2295576573640250,2032-05-01,Mastercard,2006-10-30
3525230579352870,2032-01-01,JCB 16 digit,2022-09-28
5470464615225030,2032-02-01,Mastercard,2011-08-18
378304552448284,2032-05-01,American Express,2003-10-11
4177772664221020,2032-09-01,VISA 16 digit,2014-07-04
4814133861609810000,2032-08-01,VISA 19 digit,2005-12-05
213105286288824,2032-07-01,JCB 15 digit,2022-08-07
347459302653647,2032-04-01,American Express,2019-01-16
4725475379961430,2032-05-01,VISA 16 digit,1993-03-04
3580994474268300,2032-05-01,JCB 16 digit,1997-12-10
502065966660,2032-07-01,Maestro,2012-12-06
6011389995356440,2032-01-01,Discover,2004-08-23
4173686758851180000,2032-05-01,VISA 19 digit,1998-06-06
30045531854312,2032-04-01,Diners Club / Carte Blanche,2015-04-29
4451489580836610,2032-01-01,VISA 16 digit,2010-07-09
5318809754628950,2032-09-01,Mastercard,2006-01-20
4471079791826680,2032-08-01,VISA 16 digit,2016-05-06
5100999141268310,2032-01-01,Mastercard,2006-10-13
4292246611514030000,2032-10-01,VISA 19 digit,2019-12-09
502041753190,2032-01-01,Maestro,2011-08-15
6011205192349760,2032-07-01,Discover,2004-03-25
30063664813146,2032-02-01,Diners Club / Carte Blanche,1993-10-02
4063173018445,2032-05-01,VISA 13 digit,1999-08-18
4912582972012890,2032-06-01,VISA 16 digit,2012-04-27
3596374495945730,2032-02-01,JCB 16 digit,2015-02-27
180061617752583,2032-03-01,JCB 15 digit,1994-04-02
36216139563498,2032-04-01,Diners Club / Carte Blanche,2001-11-23
6512067348270310,2032-11-01,Discover,1996-06-24
579611254262,2032-06-01,Maestro,2022-08-31
4128064682060270,2032-04-01,VISA 16 digit,2019-01-03
4095987282270220,2032-07-01,VISA 16 digit,2004-08-13
6547440309565610,2032-01-01,Discover,1994-03-13
579122407847,2032-05-01,Maestro,2009-08-30
6576426607438820,2032-07-01,Discover,2005-05-20
3522396529143170,2032-07-01,JCB 16 digit,2007-12-10
213150496114402,2032-09-01,JCB 15 digit,2010-10-06
30209688741348,2032-04-01,Diners Club / Carte Blanche,1999-02-23
4682619251478900000,2032-07-01,VISA 19 digit,2000-12-17
4449728735165460,2032-03-01,VISA 16 digit,2016-05-26
4883357757830620,2032-01-01,VISA 16 digit,2009-09-01
5351184595470190,2032-09-01,Mastercard,2021-01-26
4159277795605,2032-04-01,VISA 13 digit,2014-10-30
630404843041,2032-02-01,Maestro,2005-10-31
4039354552421940,2032-08-01,VISA 16 digit,2019-07-23
6504798660256320,2032-01-01,Discover,2008-08-25
5325718178163760,2032-05-01,Mastercard,2005-11-17
6520896341853160,2032-01-01,Discover,2011-11-07
4507429122209490,2032-11-01,VISA 16 digit,2006-06-19
4410077019640750,2032-10-01,VISA 16 digit,1996-06-07
3593967500169390,2032-01-01,JCB 16 digit,1995-02-18
4998146319224,2032-09-01,VISA 13 digit,2011-04-10
4958389621322070,2032-09-01,VISA 16 digit,2016-01-21
4660283246168860,2032-03-01,VISA 16 digit,2001-09-16
4223281973564,2032-01-01,VISA 13 digit,2016-10-07
3501787083830480,2032-10-01,JCB 16 digit,2002-08-11
630475459107,2032-06-01,Maestro,2019-12-09
4712214410917490000,2032-09-01,VISA 19 digit,2008-06-16
4370946690604690,2032-06-01,VISA 16 digit,2017-07-20
4771201009098590000,2032-05-01,VISA 19 digit,2020-08-19
4763058935262,2032-08-01,VISA 13 digit,2006-06-05
4910693962108,2032-06-01,VISA 13 digit,2013-11-15
4909539748052290000,2032-06-01,VISA 19 digit,2016-09-12
639045877037,2032-04-01,Maestro,2022-09-20
6594359531743420,2032-10-01,Discover,2008-07-19
4943101034436610,2032-01-01,VISA 16 digit,2019-03-24
6011390052344950,2032-04-01,Discover,2006-03-19
372384462097260,2032-08-01,American Express,2016-09-04
3545715694383610,2032-09-01,JCB 16 digit,2008-08-10
4118367235365840000,2032-03-01,VISA 19 digit,2007-03-16
4962931302570900,2032-01-01,VISA 16 digit,2015-09-01
2271249965732710,2032-01-01,Mastercard,1998-10-08
3569449506112220,2032-04-01,JCB 16 digit,1994-05-10
4644664056760,2032-10-01,VISA 13 digit,2019-05-02
4390226552090770,2032-02-01,VISA 16 digit,2011-05-11
3549388087874490,2032-11-01,JCB 16 digit,1997-06-03
30030635439814,2032-11-01,Diners Club / Carte Blanche,2013-07-10
4845725201697660000,2032-05-01,VISA 19 digit,2016-03-13
30461251121511,2032-03-01,Diners Club / Carte Blanche,1999-10-15
213195869353046,2032-04-01,JCB 15 digit,2006-04-18
676323654555,2032-10-01,Maestro,2006-05-05
213124845098178,2032-07-01,JCB 15 digit,2007-05-31
180037240473987,2032-09-01,JCB 15 digit,2008-11-30
3536602193767760,2032-09-01,JCB 16 digit,2010-02-09
4391140423178500000,2032-10-01,VISA 19 digit,2015-02-08
3584976804062580,2032-02-01,JCB 16 digit,1993-09-28
2372764670138820,2032-04-01,Mastercard,2019-05-11
4846652643949100,2032-01-01,VISA 16 digit,2002-01-19
4697153159289,2032-07-01,VISA 13 digit,2013-12-07
4000406019667,2032-02-01,VISA 13 digit,2009-03-29
4675018072150830000,2032-06-01,VISA 19 digit,2002-10-22
4311878735189,2032-05-01,VISA 13 digit,1994-07-24
6574178412994580,2032-06-01,Discover,2001-06-08
4546089585398310,2032-11-01,VISA 16 digit,1994-03-02
4278905255772960,2032-07-01,VISA 16 digit,1994-08-27
342375064735437,2032-03-01,American Express,2021-12-07
6011512688136370,2032-02-01,Discover,2004-01-10
3532288196213640,2032-07-01,JCB 16 digit,2006-02-05
4422849905811290,2032-02-01,VISA 16 digit,1996-12-28
4055863070561,2032-09-01,VISA 13 digit,2010-09-01
30488539170325,2032-09-01,Diners Club / Carte Blanche,2011-08-01
6011322172669710,2032-02-01,Discover,2008-07-11
6508834617739190,2032-07-01,Discover,1997-07-08
30046124126217,2032-06-01,Diners Club / Carte Blanche,2006-09-01
2477936536260250,2032-03-01,Mastercard,2004-09-18
4689538832435500000,2032-06-01,VISA 19 digit,2021-05-23
373859643117128,2032-03-01,American Express,1998-11-01
578064122877,2032-02-01,Maestro,2009-08-03
4823894128131590,2032-06-01,VISA 16 digit,2006-08-30
213119480918375,2032-06-01,JCB 15 digit,2016-01-14
180096921786117,2032-07-01,JCB 15 digit,2009-07-06
60405984588,2032-01-01,Maestro,2015-03-11
180068074539510,2032-02-01,JCB 15 digit,1998-09-17
213169626602748,2032-02-01,JCB 15 digit,2010-01-17
4243327958716240,2032-03-01,VISA 16 digit,2005-02-27
373110543347914,2032-02-01,American Express,1997-06-08
3585728583054750,2032-05-01,JCB 16 digit,2011-05-04
4526883043440,2032-07-01,VISA 13 digit,2015-06-16
340887484742829,2032-07-01,American Express,2002-06-14
3542045162976040,2032-05-01,JCB 16 digit,2007-12-31
379809199598803,2032-08-01,American Express,2006-12-14
4854122765635,2032-07-01,VISA 13 digit,1995-02-11
2677824977242120,2032-06-01,Mastercard,1996-02-12
4300427434725,2032-03-01,VISA 13 digit,1999-06-07
30319569823311,2032-05-01,Diners Club / Carte Blanche,1998-05-18
3543084492879200,2032-03-01,JCB 16 digit,1998-05-14
4531428256935940,2032-08-01,VISA 16 digit,1998-02-27
4808941649642060000,2032-11-01,VISA 19 digit,2000-09-21
3596348467944690,2032-03-01,JCB 16 digit,2015-09-04
30330836578216,2032-09-01,Diners Club / Carte Blanche,1993-09-07
4155008631739,2032-09-01,VISA 13 digit,2018-11-03
4044450972678,2032-08-01,VISA 13 digit,2006-11-16
379593608525777,2032-02-01,American Express,1995-10-04
4492135546534,2032-03-01,VISA 13 digit,2022-11-01
6561504016383120,2032-07-01,Discover,2021-09-20
4110000957042290000,2032-04-01,VISA 19 digit,1993-07-20
4238977153131140000,2032-08-01,VISA 19 digit,2006-08-24
501891019900,2032-03-01,Maestro,2009-11-14
4262121967204,2032-04-01,VISA 13 digit,2017-03-09
639064083889,2032-04-01,Maestro,2013-10-03
4926196704113980,2032-07-01,VISA 16 digit,1993-08-15
30084232224400,2032-01-01,Diners Club / Carte Blanche,2019-03-07
4533012697554410,2032-08-01,VISA 16 digit,2000-01-18
